date,price,market_caps,total_volumes
28/4/2013,135.3,1500517590,0
29/4/2013,141.96,1575032004,0
30/4/2013,135.3,1501657493,0
1/5/2013,117,1298951550,0
2/5/2013,103.43,1148667722,0
3/5/2013,91.01,1011066494,0
4/5/2013,111.25,1236351844,0
5/5/2013,116.79,1298377788,0
6/5/2013,118.33,1315992304,0
7/5/2013,106.4,1183766500,0
8/5/2013,112.64,1253655040,0
9/5/2013,113,1258130700,0
10/5/2013,118.78,1322989457,0
11/5/2013,113.01,1259239352,0
12/5/2013,114.713,1278708679,0
13/5/2013,117.18,1306721052,0
14/5/2013,114.5,1277278988,0
15/5/2013,114.156,1273849681,0
16/5/2013,115.5,1289277412,0
17/5/2013,123.1,1374605382,0
18/5/2013,123.88,1383755085,0
19/5/2013,120.501,1346499262,0
20/5/2013,122.58,1370131821,0
21/5/2013,122.9,1374154118,0
22/5/2013,123,1375791900,0
23/5/2013,125.748,1407041528,0
24/5/2013,131.7,1474180657,0
25/5/2013,130.77,1464316690,0
26/5/2013,134.6,1507769010,0
27/5/2013,128.985,1445444606,0
28/5/2013,129.179,1448115967,0
29/5/2013,132.13,1481781795,0
30/5/2013,127.401,1429308634,0
31/5/2013,127.98,1436386730,0
1/6/2013,129.09,1449499974,0
2/6/2013,121.3,1362684200,0
3/6/2013,121.16,1361765704,0
4/6/2013,,,
5/6/2013,121.309,1364113640,0
6/6/2013,121.714,1369233814,0
7/6/2013,119,1339234925,0
8/6/2013,110.09,1239395972,0
9/6/2013,108.401,1220874393,0
10/6/2013,99.7497,1123844958,0
11/6/2013,105.99,1194605341,0
12/6/2013,108.9,1227904672,0
13/6/2013,108.4,1222819750,0
14/6/2013,102.769,1159766150,0
15/6/2013,98.399,1110902570,0
16/6/2013,99.99,1129287060,0
17/6/2013,100.42,1134610433,0
18/6/2013,102,1152834600,0
19/6/2013,106.55,1204638318,0
20/6/2013,107.9,1220273470,0
21/6/2013,110.91,1254733148,0
22/6/2013,109.015,1233750009,0
23/6/2013,107.25,1214260369,0
24/6/2013,108,1223181000,0
25/6/2013,102.443,1160635652,0
26/6/2013,103.691,1175194910,0
27/6/2013,103.39,1172207388,0
28/6/2013,99.66,1130338737,0
29/6/2013,93.3311,1058953327,0
30/6/2013,95.3886,1082693996,0
1/7/2013,97.504,1107084792,0
2/7/2013,89.489,1016445146,0
3/7/2013,90.797,1031653673,0
4/7/2013,78.8,895707780,0
5/7/2013,78.48,892405890,0
6/7/2013,67.809,771368060,0
7/7/2013,68.0831,774804401,0
8/7/2013,77.502,882356395,0
9/7/2013,76.3915,870081997,0
10/7/2013,77,877378425,0
11/7/2013,85.75,977479256,0
12/7/2013,93.804,1069724400,0
13/7/2013,88.0622,1004551934,0
14/7/2013,95.58,1090715949,0
15/7/2013,94,1073073450,0
16/7/2013,97.301,1111179853,0
17/7/2013,98.9796,1130735527,0
18/7/2013,97.8,1117707300,0
19/7/2013,88.7869,1015062893,0
20/7/2013,91.572,1047311253,0
21/7/2013,89.28,1021492656,0
22/7/2013,90.3672,1034399451,0
23/7/2013,91.7024,1050054379,0
24/7/2013,94.5806,1083333286,0
25/7/2013,94.525,1083076902,0
26/7/2013,96.9499,1111232483,0
27/7/2013,94.13,1079278107,0
28/7/2013,94.005,1078286703,0
29/7/2013,98.5759,1131111629,0
30/7/2013,101.5,1165105812,0
31/7/2013,110.34,1267183179,0
1/8/2013,106.23,1220481782,0
2/8/2013,101.61,1167849454,0
3/8/2013,103.7,1192378895,0
4/8/2013,104.86,1206152150,0
5/8/2013,106.56,1226188584,0
6/8/2013,105.841,1218425716,0
7/8/2013,106.75,1229098150,0
8/8/2013,101.672,1171586790,0
9/8/2013,103.4,1192028805,0
10/8/2013,102.71,1184605785,0
11/8/2013,103.77,1197378682,0
12/8/2013,105.18,1214268916,0
13/8/2013,106.068,1225008501,0
14/8/2013,111.621,1289602061,0
15/8/2013,111.87,1292943118,0
16/8/2013,109.867,1270257534,0
17/8/2013,112.74,1304015666,0
18/8/2013,114.4,1323762440,0
19/8/2013,118.782,1375023402,0
20/8/2013,120.5,1395441212,0
21/8/2013,121.51,1407757143,0
22/8/2013,122.499,1419858347,0
23/8/2013,120,1391517000,0
24/8/2013,120.44,1397179275,0
25/8/2013,122,1415749000,0
26/8/2013,122.04,1416676932,0
27/8/2013,125.67,1459371151,0
28/8/2013,123.02,1429111038,0
29/8/2013,123.44,1434594992,0
30/8/2013,129.2,1502172870,0
31/8/2013,137.76,1602407100,0
1/9/2013,138.17,1607960283,0
2/9/2013,137.17,1597132036,0
3/9/2013,137.51,1601702729,0
4/9/2013,135.21,1575534525,0
5/9/2013,129.96,1514888487,0
6/9/2013,126.13,1470861842,0
7/9/2013,123.73,1443353756,0
8/9/2013,121.77,1420952396,0
9/9/2013,126.4,1475596760,0
10/9/2013,127.78,1492304286,0
11/9/2013,131.65,1538132775,0
12/9/2013,134.22,1568874092,0
13/9/2013,135.05,1579271324,0
14/9/2013,131.39,1537187451,0
15/9/2013,129.95,1520967287,0
16/9/2013,131.48,1539430293,0
17/9/2013,131.31,1538014334,0
18/9/2013,132.06,1547280990,0
19/9/2013,130.23,1526484433,0
20/9/2013,128.57,1507618248,0
21/9/2013,126.78,1487211807,0
22/9/2013,128.37,1506534274,0
23/9/2013,126.73,1487984454,0
24/9/2013,126.09,1481135098,0
25/9/2013,127.99,1504122481,0
26/9/2013,128.02,1505025524,0
27/9/2013,131.84,1550524096,0
28/9/2013,133.93,1575663012,0
29/9/2013,140.28,1650965841,0
30/9/2013,131.65,1549941780,0
1/10/2013,132.55,1561200410,0
2/10/2013,132.04,1555751397,0
3/10/2013,123.07,1450746083,0
4/10/2013,128.26,1512486811,0
5/10/2013,129.57,1528611793,0
6/10/2013,127.56,1505549223,0
7/10/2013,128.38,1515724889,0
8/10/2013,125.72,1484816060,0
9/10/2013,130.9,1546580228,0
10/10/2013,129.68,1532820842,0
11/10/2013,130.27,1540367845,0
12/10/2013,135.35,1601082220,0
13/10/2013,135.48,1603402413,0
14/10/2013,140.48,1663458800,0
15/10/2013,143.89,1704751164,0
16/10/2013,143.61,1702245233,0
17/10/2013,146.15,1732995548,0
18/10/2013,151.34,1795176162,0
19/10/2013,170.51,2023531688,0
20/10/2013,172.01,2042261829,0
21/10/2013,181.41,2154778910,0
22/10/2013,193.45,2298993654,0
23/10/2013,206.78,2458505640,0
24/10/2013,198.8,2364666360,0
25/10/2013,172.48,2052637048,0
26/10/2013,178.96,2130644072,0
27/10/2013,189.83,2260913266,0
28/10/2013,198.55,2365643830,0
29/10/2013,204.39,2436022215,0
30/10/2013,204.2,2434768490,0
31/10/2013,203.88,2432069229,0
1/11/2013,205.26,2449516394,0
2/11/2013,206.89,2470106260,0
3/11/2013,212.45,2537555912,0
4/11/2013,226.28,2703825377,0
5/11/2013,230.63,2756789579,0
6/11/2013,260.85,3119094311,0
7/11/2013,295.63,3536067384,0
8/11/2013,332.02,3972444990,0
9/11/2013,358,4284552950,0
10/11/2013,313,3747322075,0
11/11/2013,340.55,4078792891,0
12/11/2013,355.48,4259334699,0
13/11/2013,404.17,4844512975,0
14/11/2013,408.84,4902328893,0
15/11/2013,424.16,5087746180,0
16/11/2013,437.41,5248843453,0
17/11/2013,488.36,5862542038,0
18/11/2013,580.87,6975450004,0
19/11/2013,614.4,7380464640,0
20/11/2013,565.34,6793450510,0
21/11/2013,675.06,8114440594,0
22/11/2013,731.15,8790506777,0
23/11/2013,819.31,9853534129,0
24/11/2013,764.43,9196532447,0
25/11/2013,793.07,9544775891,0
26/11/2013,832.93,10028164851,0
27/11/2013,914.13,11009416068,0
28/11/2013,979.08,11795833455,0
29/11/2013,1101.83,13280659993,0
30/11/2013,1127.45,13593664650,0
1/12/2013,1033.39,12464724345,0
2/12/2013,974.03,11753157346,0
3/12/2013,1078.64,13020236474,0
4/12/2013,1121.48,13542487814,0
5/12/2013,989.04,11947405392,0
6/12/2013,1019.66,12322234219,0
7/12/2013,811.98,9816777302,0
8/12/2013,743.11,8987358118,0
9/12/2013,897.89,10863885372,0
10/12/2013,927.78,11230173843,0
11/12/2013,887.08,10741252534,0
12/12/2013,878.17,10636987805,0
13/12/2013,897.27,10872198158,0
14/12/2013,866.99,10509219285,0
15/12/2013,854.62,10363485334,0
16/12/2013,789.15,9573257565,0
17/12/2013,691.65,8393847109,0
18/12/2013,559.36,6791343584,0
19/12/2013,677.84,8233502182,0
20/12/2013,694.25,8436421862,0
21/12/2013,596.12,7246404914,0
22/12/2013,650.27,7907201916,0
23/12/2013,645.75,7854951431,0
24/12/2013,659.94,8030446893,0
25/12/2013,668.74,8140337961,0
26/12/2013,734.59,8944973877,0
27/12/2013,734.27,8944473292,62881800
28/12/2013,738.81,9002769255,28121600
